file,group,t_min,GFP.background,GFP.total,GFP.p999,GFP.peak,GFP.area,ESID.background,set_Offset,set_DigitalGain,set_LaserScanPixelTime,set_Power,set_Attenuation,set_PinholeSizeAiry,timestamp
oliDAD9_1en5_stack_20_,OliDAD9 1/5,328.2019575783333,141.0,391290278.0,812.0,3384.609299114425,5.065536495,442.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:55:23.2850986Z
DA140uM_stack,DA 140uM,351.0901500416667,141.0,394991703.0,894.0,5546.738851172214,6.621616333333333,444.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:18:16.5766464Z
DA140uM_stack_2_,DA 140uM,354.96492166666667,141.0,389426399.0,897.5610000002198,4332.494417173741,6.720940578333334,439.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:22:09.0629439Z
DA140uM_stack_3_,DA 140uM,357.86268740833333,139.0,386208997.0,980.0,6842.75274040229,4.933104168333333,447.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:25:02.9288884Z
DA140uM_stack_4_,DA 140uM,361.3084511616667,139.0,396578904.0,1524.5610000002198,10377.407931257312,6.058778945,442.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:28:29.6747136Z
DA140uM_stack_5_,DA 140uM,364.094793865,139.0,387169495.0,1014.0,6537.881836207823,6.588508251666666,448.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:31:16.8552758Z
DA140uM_stack_6_,DA 140uM,367.8259739433333,139.0,389987435.0,1017.0,8030.207761619281,6.422967843333333,451.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:35:00.7260805Z
DA140uM_stack_7_,DA 140uM,370.8202285383333,139.0,381565874.0,838.0,2558.231544005393,6.489184006666666,445.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:38:00.3813562Z
DA140uM_stack_8_,DA 140uM,374.98390002,141.0,389187923.0,819.0,3829.297824912112,6.091887026666665,444.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:42:10.2016451Z
DA140uM_stack_9_,DA 140uM,377.77524300833335,141.0,387802030.0,902.0,4344.748595132499,5.992562781666666,446.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:44:57.6822244Z
DA140uM_stack_10_,DA 140uM,383.79275385666665,141.0,387633684.0,803.0,5028.837100507514,5.396617311666666,446.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:50:58.7328753Z
DA140uM_stack_11_,DA 140uM,386.8432450016666,140.0,388589137.0,698.0,2731.952533112073,6.588508251666666,373.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T21:54:01.762344Z
DAD9_140uM_stack,DAD9 140uM,399.1157636166666,140.0,384391191.0,732.0,5089.2578595717605,4.370266780000001,440.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:06:18.1134609Z
DAD9_140uM_stack_2_,DAD9 140uM,403.16604528,140.0,383336111.0,814.0,3114.2219788295465,7.250669884999998,437.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:10:21.1303607Z
DAD9_140uM_stack_3_,DAD9 140uM,406.1550329066667,141.0,386324843.0,750.0,4095.058957798404,6.55540017,436.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:13:20.4696183Z
DAD9_140uM_stack_4_,DAD9 140uM,408.782849875,142.0,395041198.0,800.0,4435.828619936052,7.018913313333333,404.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:15:58.1386364Z
DAD9_140uM_stack_5_,DAD9 140uM,411.49847186666665,142.0,387649502.0,652.0,2967.5919324978427,5.098644576666666,427.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:18:41.0759559Z
DAD9_140uM_stack_6_,DAD9 140uM,414.2569963116667,140.0,381307150.0,710.0,4331.454034756868,5.959454699999999,437.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:21:26.5874226Z
DAD9_140uM_stack_7_,DAD9 140uM,417.8954044166667,139.0,379535725.0,683.0,4606.438739361472,5.827022373333333,433.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:25:04.8919089Z
DAD9_140uM_stack_8_,DAD9 140uM,421.396321325,140.0,386382538.0,784.0,4546.309089141244,7.316886048333333,418.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:28:34.9469234Z
DAD9_140uM_stack_9_,DAD9 140uM,424.9204895633333,141.0,389425419.0,759.5610000002198,4424.703580340911,6.025670863333333,420.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:32:06.3970177Z
DAD9_140uM_stack_10_,DAD9 140uM,427.739967495,140.0,381762627.0,734.0,3257.549117008008,5.462833475,437.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T22:34:55.5656936Z
